id,pierwsze_imie,drugie_imie,nazwisko,id_komitetu
0,Ryszard,Jerzy,GALLA,0
1,Zuzanna,Teresa,DONATH-KASIURA,0
2,Józef,Jerzy,SWACZYNA,0
3,Bernard,Józef,GAIDA,0
4,Edyta,Maria,GOLA,0
5,Zygfryd,Franciszek,STEUER,0
6,Norbert,Józef,RASCH,0
7,Joanna,Teresa,HASSA,0
8,Kryspin,Tomasz,CIEPLIK,0
9,Mirosław,Piotr,LASAR,0
10,Anna,Maria,KASPRZYK,0
11,Aleksander,,SACHANBIŃSKI,0
12,Bogna,Melania,LEWKOWICZ,0
13,Joachim,Alfred,ŚWIERC,0
14,Maria,Emilia,KOSCHNY,0
15,Rafał,Artur,MAGOSZ,0
16,Krystyna,Sylwia,RYCHLIK,0
17,Sebastian,Andrzej,GERSTENBERG,0
18,Julita,Maria,WIDERA,0
19,Bernard,Adam,GROEGER,0
20,Norbert,Hubert,HOBER,0
21,Stefan,Jan,SZŁAPA,0
22,Brygida,Barbara,LABISZ,0
23,Jan,,PANKALA,0
24,Małgorzata,Helena,SEKUŁA-SZMAJDZIŃSKA,1
25,Robert,Marcin,OBAZ,1
26,Kaja,,FILACZYŃSKA,1
27,Ryszard,,ZBRZYZNY,1
28,Damian,,PIĄTEK,1
29,Krystyna,Anna,BURAKOWSKA,1
30,Piotr,Jerzy,PACZÓSKI,1
31,Joanna,Magdalena,ORZECHOWSKA,1
32,Paweł,,GRYĆ,1
33,Rafał,,MIARA,1
34,Magdalena,,JANKOWSKA,1
35,Dominika,,KRÓLEWIECKA-WALA,1
36,Przemysław,Mikołaj,MAJEWICZ,1
37,Mikołaj,Adam,BIDNYK,1
38,Piotr,Rafał,KOHLMAN,1
39,Rafał,Krzysztof,GŁUSZKO,1
40,Paweł,Adam,BACZMAŃSKI,1
41,Edyta,Katarzyna,PŁANETA-SIEWIERSKA,1
42,Leszek,Kazimierz,GRZYB,1
43,Alicja,,RAKSZEWSKA,1
44,Magdalena,,JÓŹWIK,1
45,Inez,Jolanta,BRYCZKOWSKA,1
46,Daniel,Radosław,KOKO,1
47,Sławomir,Adam,GADEK,1
48,Marek,,DYDUCH,1
49,Mariusz,,KOTARBA,1
50,Kornelia,Joanna,LECH,1
51,Adam,Edward,ŁĄCKI,1
52,Małgorzata,Aleksandra,MUSIAŁEK,1
53,Wiktor,Piotr,ZALEŃSKI,1
54,Cecylia,Agnieszka,CHOJNACKA,1
55,Tomasz,Paweł,WOLAK,1
56,Renata,,CHUĆ,1
57,Jolanta,Izabela,SŁABICKA,1
58,Agnieszka,Beata,HABIERA-GÓRSKA,1
59,Dominik,,HÜPNER,1
60,Robert,Aleksy,CZAJKOWSKI,1
61,Janusz,Tomasz,SOŁTYSIK,1
62,Maciej,Grzegorz,ZABORONEK,1
63,Anna,Ewa,STABROWSKA,1
64,Krzysztof,Jan,ŚMISZEK,1
65,Marta,Magdalena,STOŻEK,1
66,Arkadiusz,,SIKORA,1
67,Katarzyna,Elżbieta,LUBINIECKA-RÓŻYŁO,1
68,Iwo,Piotr,AUGUSTYŃSKI,1
69,Marlena,Ewa,JOKS,1
70,Piotr,Sebastian,KOZDROWICKI,1
71,Anna,Katarzyna,ŁAGOWSKA,1
72,Wincenty,Aleksander,ELSNER,1
73,Maciej,,PILNY,1
74,Anna,,GAJDZIŃSKA,1
75,Stanisław,,WICHA,1
76,Robert,,MAŚLAK,1
77,Katarzyna,,DĄBROWSKA,1
78,Danuta,Maria,ŚMIAŁEK,1
79,Irena,Róża,TERPIŁOWSKA,1
80,Tadeusz,Albert,MINCER,1
81,Agnieszka,Katarzyna,KORDEK-CHMIELEWSKA,1
82,Waldemar,Antoni,OLIK,1
83,Agnieszka,Barbara,CHŁÓDEK,1
84,Krzysztof,,MARKOWSKI,1
85,Andrzej,Jerzy,HODOWANY,1
86,Jan,Mateusz,NIEMIEC,1
87,Maria,Teresa,BANACH,1
88,Małgorzata,Danuta,WARZYCHA,1
89,Mateusz,Dariusz,PELWECKI,1
90,Grzegorz,Paweł,BOBIŃSKI,1
91,Agnieszka,Ewa,DZIEMIANOWICZ-BĄK,1
92,Krzysztof,Kamil,GAWKOWSKI,1
93,Jan,Józef,SZOPIŃSKI,1
94,Michał,,WYSOCKI,1
95,Izabela,Anna,NOWAK,1
96,Anna,Magdalena,LUDWISIAK-KAWECKA,1
97,Marek,Krzysztof,JELENIEWSKI,1
98,Danuta,Elżbieta,KOŃCZAK,1
99,Damian,Adam,SKAŁECKI,1
100,Karolina,,KOZŁOWSKA,1
101,Magdalena,,BIRSKA,1
102,Elżbieta,Maria,BUDZIŃSKA,1
103,Sławomir,Ryszard,GINTER,1
104,Aleksandra,Justyna,SMOLAGA,1
105,Wiesław,Tadeusz,MENARD,1
106,Katarzyna,Anna,OSUCH,1
107,Teresa,,WARSICKA,1
108,Mateusz,,FRĘŚ,1
109,Joanna,Zuzanna,PIASKOWSKA,1
110,Piotr,,JAROSZ,1
111,Artur,,GRUPA,1
112,Sebastian,,SKAJA,1
113,Michał,Mateusz,PISAREK,1
114,Tomasz,,KRZESIŃSKI,1
115,Robert,Artur,KWIATKOWSKI,1
116,Joanna,Izabela,SCHEURING-WIELGUS,1
117,Marek,Władysław,ROZPŁOCH,1
118,Piotr,,KOWAL,1
119,Kazimiera,Janina,JANISZEWSKA,1
120,Maria,Magdalena,RUMIŃSKA,1
121,Czesława,Janina,AUGUSTINOWICZ,1
122,Krzysztof,Michał,MAŁECKI,1
123,Zofia,,KUCZMARSKA,1
124,Sebastian,Maciej,OLEWIŃSKI,1
125,Jolanta,Ewa,MAĆKIEWICZ,1
126,Andrzej,Jerzy,KRZYŻANOWSKI,1
127,Andrzej,,KRAJEWSKI,1
128,Tomasz,Piotr,MATRASZEK,1
129,Katarzyna,,CZERNIC,1
130,Jerzy,,ZAWADZKI,1
131,Inez,Justyna,SZCZUROWSKA,1
132,Artur,,EICHHORST,1
133,Paweł,Mateusz,BYTNER,1
134,Anna,Zofia,TURSKA,1
135,Julia,Joanna,POKORSKA,1
136,Stanisław,Kazimierz,OLEJNIK,1
137,Dorota,,BELSKA,1
138,Łukasz,Mariusz,KOWAROWSKI,1
139,Jacek,Andrzej,CZERNIAK,1
140,Magdalena,Anna,DŁUGOSZ,1
141,Tomasz,,KITLIŃSKI,1
142,Marek,,MAZUREK,1
143,Katarzyna,Edyta,ZABRATAŃSKA,1
144,Marek,Waldemar,KOŁODZIEJCZYK,1
145,Robert,Michał,LACHOWSKI,1
146,Agnieszka,Monika,LENART,1
147,Paulina,,SKIBA,1
148,Agnieszka,Halina,MARCINKOWSKA-KOZAK,1
149,Władysław,,MASZKOWSKI,1
150,Jolanta,,REBEJKO,1
151,Beata,,WICHA,1
152,Andrzej,Wawrzyniec,BANAŚ,1
153,Adrian,,STĘPNIAK,1
154,Jarosław,Paweł,IWAN,1
155,Patryk,,STOLARSKI,1
156,Karolina,,SŁOMKA,1
157,Barbara,,KOWALSKA,1
158,Gabriel,Jan,KACZYŃSKI,1
159,Anna,Maria,ŁABAREWICZ,1
160,Grażyna,Irena,ROJEK,1
161,Dariusz,Władysław,FIGURA,1
162,Walenty,,KUŁAGO,1
163,Monika,Barbara,MIKITA-SKIBA,1
164,Grzegorz,Jerzy,NOWICKI,1
165,Joanna,Edyta,KASZA,1
166,Emilia,Dominika,SKUBIS,1
167,Szymon,,FURMANIAK,1
168,Jacek,Marek,GALLANT,1
169,Monika,Jolanta,PAWŁOWSKA,1
170,Piotr,Edward,SZELĄG,1
171,Bolesław,Borys,BORYSIUK,1
172,Sławomir,,ROGALA,1
173,Michał,Reoland,GOŁOŚ,1
174,Anna,Jadwiga,CZOBODZIŃSKA-PRZYBYSŁAWSKA,1
175,Gerard,,WASZKIEWICZ,1
176,Łucja,Jadwiga,PAMULSKA,1
177,Patrycja,Anna,DOBOSZ-FURMAN,1
178,Magdalena,Małgorzata,KAMOLA,1
179,Ewa,Monika,BARTOSZEWSKA-WIC,1
180,Grażyna,Zofia,MACERONI,1
181,Aldona,Wioleta,TROJNIEL-GOŹDZIOŁKO,1
182,Zbigniew,,LITWINIEC,1
183,Jacek,Michał,MALCZEWSKI,1
184,Justyna,,JASEK-KOSOBUCKA,1
185,Monika,,KAPŁON,1
186,Jacek,Tomasz,CHĘĆ,1
187,Magdalena,Aleksandra,TABOR,1
188,Jan,Bolesław,KUROWSKI,1
189,Stanisław,,ŻUKOWSKI,1
190,Katarzyna,Małgorzata,KOZICKA,1
191,Mateusz,Maciej,ROCZON,1
192,Bogdan,Antoni,KIEŁBASA,1
193,Anita,Agnieszka,KUCHARSKA-DZIEDZIC,1
194,Bogusław,Tadeusz,WONTOR,1
195,Adrianna,,RUSZKOWSKA,1
196,Artur,,STOJANOWSKI,1
197,Anna,,GARGUL,1
198,Wojciech,Kazimierz,STARSZAK,1
199,Ewa,Maria,OCH,1
200,Bernard,Krzysztof,ŁYSIAK,1
201,Irena,,BUZAREWICZ-KOWAL,1
202,Damian,Karol,HAŁABURA,1
203,Iwona,Marzena,RAKSA,1
204,Waldemar,Jacek,WŁODEK,1
205,Monika,,BĄK,1
206,Eugeniusz,,ROŻEK,1
207,Julita,Monika,SZKUDLAREK,1
208,Tomasz,,WALCZAK,1
209,-,ZAWADZKA,ŻEGILEWICZ,1
210,Paweł,,WITA,1
211,Natalia,Roksana,KOMAJDA,1
212,Leszek,,SOKOŁOWSKI,1
213,Julieta,,GRANDE,1
214,Wacław,Andrzej,WIŚNIEWSKI,1
215,Monika,,DRUBKOWSKA,1
216,Michał,Paweł,SZMYTKOWSKI,1
217,Tomasz,Dominik,TRELA,1
218,Hanna,Beata,GILL-PIĄTEK,1
219,Michał,Wojciech,KWIATKOWSKI,1
220,Sylwester,Stefan,PAWŁOWSKI,1
221,Tomasz,,FRĄCZAK,1
222,Martyna,Natalia,URBAŃCZYK,1
223,Agnieszka,Maria,WIETESKA,1
224,Maria,Wanda,MARKOWSKA-KURC,1
225,Michał,Cezary,RACHALEWSKI,1
226,Michał,Andrzej,OLEJNICZAK,1
227,Patrycja,Karolina,MELANIUK,1
228,Igor,Marcin,WOJCIECHOWSKI,1
229,Beata,Katarzyna,ŚWIDERSKA,1
230,Mariusz,Paweł,SOKOŁOWICZ,1
231,Adam,,WOJECH,1
232,Tomasz,Jacek,MINKIEWICZ,1
233,Jakub,Zdzisław,KOŁACIŃSKI,1
234,Wioleta,Kamila,PAWLIK-NOWACKA,1
235,Elżbieta,Bogumiła,PĘDZIWIATR,1
236,Piotr,Marcin,BORS,1
237,Anita,Katarzyna,SOWIŃSKA,1
238,Artur,Zygmunt,OSTROWSKI,1
239,Marta,,PANAK,1
240,Tadeusz,,ROZPARA,1
241,Małgorzata,Alicja,PTAK,1
242,Małgorzata,Dorota,WAŁACH,1
243,Andrzej,Krzysztof,PAWELCZYK,1
244,Julia,Anna,KLEMBA,1
245,Tomasz,,LEWANDOWSKI,1
246,Paweł,,ZIĘBA,1
247,Agnieszka,,BIENIAS,1
248,Paweł,,ROCHMIŃSKI,1
249,Joanna,Ewa,MANDAT,1
250,Mariusz,Łukasz,PODPORA,1
251,Monika,Zofia,SULKA,1
252,Elżbieta,Małgorzata,ŻURAW,1
253,Marek,Jerzy,JABŁOŃSKI,1
254,Mariusz,Krzysztof,KOWALCZYK,1
255,Paulina,,MATYSIAK,1
256,Cezary,Roman,OLEJNICZAK,1
257,Wiktor,,IDZIKOWSKI,1
258,Iwona,Monika,KAŹMIERSKA-MAŁYSKA,1
259,Henryk,,WALUDA,1
260,Anna,Iwona,SIKORA,1
261,Michał,Damian,PIETRZAK,1
262,Zdzisława,Teresa,LEWICKA,1
263,Patryk,,LORENC,1
264,Marcin,,KARPIŃSKI,1
265,Anna,Maria,BŁASZCZYK,1
266,Sebastian,Bartosz,WALCZAK,1
267,Monika,,KOŚCIAN,1
268,Przemysław,,RAJ,1
269,Agnieszka,Czesława,BUNDZYLAK-DĄBROWSKA,1
270,Anna,Maria,WOLSKA,1
271,Piotr,,ZIĘBA,1
272,Piotr,Krzysztof,CIUBORSKI,1
273,Olga,,JĘDRYSIAK-URBAŃSKA,1
274,Marek,,PŁÓCIENNIK,1
275,Adrian,,SKOCZYLAS,1
276,Kinga,,BORKIEWICZ,1
277,Rafał,,GRABSKI,1
278,Marek,Józef,GRYGLEWSKI,1
279,Ryszard,Kazimierz,ŚMIAŁEK,1
280,Katarzyna,Małgorzata,WÓJTOWICZ,1
281,Tomasz,Leszek,ZAWADA,1
282,Dominika,Maria,BROŻEK,1
283,Paweł,Stanisław,JEZIERSKI,1
284,Michał,Grzegorz,KOWALÓWKA,1
285,Jan,Zbigniew,RAUCH,1
286,Iwona,Ewa,STASIK,1
287,Magdalena,,FILIPEK,1
288,Maria,Teresa,KUC,1
289,Władysław,,JANUSZYK,1
290,Natalia,Joanna,LEGOŃ,1
291,Jarosław,Marek,GUGULSKI,1
292,Agnieszka,,TYMAN,1
293,Dorota,Ewa,KAJDAS,1
294,Jakub,Jerzy,JAGLARZ,1
295,Maciej,Roman,GDULA,1
296,Daria,Iwona,GOSEK-POPIOŁEK,1
