id,nazwa
0,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
1,KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ
2,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI
3,KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW
4,KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA
5,KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
6,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
7,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ
8,KOMITET WYBORCZY PRAWICA
9,KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY
