id,id_wojewodztwa,nazwa
0,0,boles³awiecki
1,0,dzier¿oniowski
2,0,g³ogowski
3,0,górowski
4,0,jaworski
5,0,Jelenia Góra
6,0,jeleniogórski
7,0,kamiennogórski
8,0,k³odzki
9,0,Legnica
10,0,legnicki
11,0,lubañski
12,0,lubiñski
13,0,lwówecki
14,0,milicki
15,0,oleœnicki
16,0,o³awski
17,0,polkowicki
18,0,strzeliñski
19,0,œredzki
20,0,œwidnicki
21,0,trzebnicki
22,0,Wa³brzych
23,0,wa³brzyski
24,0,wo³owski
25,0,Wroc³aw
26,0,wroc³awski
27,0,z¹bkowicki
28,0,zgorzelecki
29,0,z³otoryjski
30,1,aleksandrowski
31,1,brodnicki
32,1,bydgoski
33,1,Bydgoszcz
34,1,che³miñski
35,1,golubsko-dobrzyñski
36,1,Grudzi¹dz
37,1,grudzi¹dzki
38,1,inowroc³awski
39,1,lipnowski
40,1,mogileñski
41,1,nakielski
42,1,radziejowski
43,1,rypiñski
44,1,sêpoleñski
45,1,œwiecki
46,1,Toruñ
47,1,toruñski
48,1,tucholski
49,1,w¹brzeski
50,1,W³oc³awek
51,1,w³oc³awski
52,1,¿niñski
53,2,bialski
54,2,Bia³a Podlaska
55,2,bi³gorajski
56,2,Che³m
57,2,che³mski
58,2,hrubieszowski
59,2,janowski
60,2,krasnostawski
61,2,kraœnicki
62,2,lubartowski
63,2,lubelski
64,2,Lublin
65,2,³êczyñski
66,2,³ukowski
67,2,opolski
68,2,parczewski
69,2,pu³awski
70,2,radzyñski
71,2,rycki
72,2,œwidnicki
73,2,tomaszowski
74,2,w³odawski
75,2,zamojski
76,2,Zamoœæ
77,3,gorzowski
78,3,Gorzów Wielkopolski
79,3,kroœnieñski
80,3,miêdzyrzecki
81,3,nowosolski
82,3,s³ubicki
83,3,strzelecko-drezdenecki
84,3,sulêciñski
85,3,œwiebodziñski
86,3,wschowski
87,3,Zielona Góra
88,3,zielonogórski
89,3,¿agañski
90,3,¿arski
91,4,be³chatowski
92,4,brzeziñski
93,4,kutnowski
94,4,³aski
95,4,³êczycki
96,4,³owicki
97,4,³ódzki wschodni
98,4,£ódŸ
99,4,opoczyñski
100,4,pabianicki
101,4,pajêczañski
102,4,piotrkowski
103,4,Piotrków Trybunalski
104,4,poddêbicki
105,4,radomszczañski
106,4,rawski
107,4,sieradzki
108,4,Skierniewice
109,4,skierniewicki
110,4,tomaszowski
111,4,wieluñski
112,4,wieruszowski
113,4,zduñskowolski
114,4,zgierski
115,5,bocheñski
116,5,brzeski
117,5,chrzanowski
118,5,d¹browski
119,5,gorlicki
120,5,krakowski
121,5,Kraków
122,5,limanowski
123,5,miechowski
124,5,myœlenicki
125,5,nowos¹decki
126,5,nowotarski
127,5,Nowy S¹cz
128,5,olkuski
129,5,oœwiêcimski
130,5,proszowicki
131,5,suski
132,5,tarnowski
133,5,Tarnów
134,5,tatrzañski
135,5,wadowicki
136,5,wielicki
137,6,bia³obrzeski
138,6,ciechanowski
139,6,garwoliñski
140,6,gostyniñski
141,6,grodziski
