id,id_powiatu,nazwa
0,0,gm. Boles³awiec
1,0,gm. Gromadka
2,0,gm. Nowogrodziec
3,0,gm. Osiecznica
4,0,gm. Warta Boles³awiecka
5,0,m. Boles³awiec
6,1,gm. Dzier¿oniów
7,1,gm. £agiewniki
8,1,gm. Niemcza
9,1,m. Bielawa
10,1,m. Dzier¿oniów
11,1,m. Pieszyce
12,1,m. Pi³awa Górna
13,2,gm. G³ogów
14,2,gm. Jerzmanowa
15,2,gm. Kotla
16,2,gm. Pêc³aw
17,2,gm. ¯ukowice
18,2,m. G³ogów
19,3,gm. Góra
20,3,gm. Jemielno
21,3,gm. Niechlów
22,3,gm. W¹sosz
23,4,gm. Bolków
24,4,gm. Mêcinka
25,4,gm. Mœciwojów
26,4,gm. Paszowice
27,4,gm. W¹dro¿e Wielkie
28,4,m. Jawor
29,5,Jelenia Góra
30,6,gm. Janowice Wielkie
31,6,gm. Je¿ów Sudecki
32,6,gm. Mys³akowice
33,6,gm. Podgórzyn
34,6,gm. Stara Kamienica
35,6,m. Karpacz
36,6,m. Kowary
37,6,m. Piechowice
38,6,m. Szklarska Porêba
39,7,gm. Kamienna Góra
40,7,gm. Lubawka
41,7,gm. Marciszów
42,7,m. Kamienna Góra
43,8,gm. Bystrzyca K³odzka
44,8,gm. K³odzko
45,8,gm. L¹dek-Zdrój
46,8,gm. Lewin K³odzki
47,8,gm. Miêdzylesie
48,8,gm. Nowa Ruda
49,8,gm. Radków
50,8,gm. Stronie Œl¹skie
51,8,gm. Szczytna
52,8,m. Duszniki-Zdrój
53,8,m. K³odzko
54,8,m. Kudowa-Zdrój
55,8,m. Nowa Ruda
56,8,m. Polanica-Zdrój
57,9,Legnica
58,10,gm. Chojnów
59,10,gm. Krotoszyce
60,10,gm. Kunice
61,10,gm. Legnickie Pole
62,10,gm. Mi³kowice
63,10,gm. Prochowice
64,10,gm. Ruja
65,10,m. Chojnów
66,11,gm. Leœna
67,11,gm. Lubañ
68,11,gm. Olszyna
69,11,gm. Platerówka
70,11,gm. Siekierczyn
71,11,m. Lubañ
72,11,m. Œwieradów-Zdrój
73,12,gm. Lubin
74,12,gm. Rudna
75,12,gm. Œcinawa
76,12,m. Lubin
77,13,gm. Gryfów Œl¹ski
78,13,gm. Lubomierz
79,13,gm. Lwówek Œl¹ski
80,13,gm. Mirsk
81,13,gm. Wleñ
