id,id_wojewodztwa,nazwa
0,0,bolesławiecki
1,0,dzierżoniowski
2,0,głogowski
3,0,górowski
4,0,jaworski
5,0,Jelenia Góra
6,0,jeleniogórski
7,0,kamiennogórski
8,0,kłodzki
9,0,Legnica
10,0,legnicki
11,0,lubański
12,0,lubiński
13,0,lwówecki
14,0,milicki
15,0,oleśnicki
16,0,oławski
17,0,polkowicki
18,0,strzeliński
19,0,średzki
20,0,świdnicki
21,0,trzebnicki
22,0,Wałbrzych
23,0,wałbrzyski
24,0,wołowski
25,0,Wrocław
26,0,wrocławski
27,0,ząbkowicki
28,0,zgorzelecki
29,0,złotoryjski
30,1,aleksandrowski
31,1,brodnicki
32,1,bydgoski
33,1,Bydgoszcz
34,1,chełmiński
35,1,golubsko-dobrzyński
36,1,Grudziądz
37,1,grudziądzki
38,1,inowrocławski
39,1,lipnowski
40,1,mogileński
41,1,nakielski
42,1,radziejowski
43,1,rypiński
44,1,sępoleński
45,1,świecki
46,1,Toruń
47,1,toruński
48,1,tucholski
49,1,wąbrzeski
50,1,Włocławek
51,1,włocławski
52,1,żniński
53,2,bialski
54,2,Biała Podlaska
55,2,biłgorajski
56,2,Chełm
57,2,chełmski
58,2,hrubieszowski
59,2,janowski
60,2,krasnostawski
61,2,kraśnicki
62,2,lubartowski
63,2,lubelski
64,2,Lublin
65,2,łęczyński
66,2,łukowski
67,2,opolski
68,2,parczewski
69,2,puławski
70,2,radzyński
71,2,rycki
72,2,świdnicki
73,2,tomaszowski
74,2,włodawski
75,2,zamojski
76,2,Zamość
77,3,gorzowski
78,3,Gorzów Wielkopolski
79,3,krośnieński
80,3,międzyrzecki
81,3,nowosolski
82,3,słubicki
83,3,strzelecko-drezdenecki
84,3,sulęciński
85,3,świebodziński
86,3,wschowski
87,3,Zielona Góra
88,3,zielonogórski
89,3,żagański
90,3,żarski
91,4,bełchatowski
92,4,brzeziński
93,4,kutnowski
94,4,łaski
95,4,łęczycki
96,4,łowicki
97,4,łódzki wschodni
98,4,Łódź
99,4,opoczyński
100,4,pabianicki
101,4,pajęczański
102,4,piotrkowski
103,4,Piotrków Trybunalski
104,4,poddębicki
105,4,radomszczański
106,4,rawski
107,4,sieradzki
108,4,Skierniewice
109,4,skierniewicki
110,4,tomaszowski
111,4,wieluński
112,4,wieruszowski
113,4,zduńskowolski
114,4,zgierski
115,5,bocheński
116,5,brzeski
117,5,chrzanowski
118,5,dąbrowski
119,5,gorlicki
120,5,krakowski
121,5,Kraków
122,5,limanowski
123,5,miechowski
124,5,myślenicki
125,5,nowosądecki
126,5,nowotarski
127,5,Nowy Sącz
128,5,olkuski
129,5,oświęcimski
130,5,proszowicki
131,5,suski
132,5,tarnowski
133,5,Tarnów
134,5,tatrzański
135,5,wadowicki
136,5,wielicki
137,6,białobrzeski
138,6,ciechanowski
139,6,garwoliński
140,6,gostyniński
141,6,grodziski
142,6,grójecki
143,6,kozienicki
144,6,legionowski
145,6,lipski
146,6,łosicki
147,6,makowski
148,6,miński
149,6,mławski
150,6,nowodworski
151,6,ostrołęcki
152,6,Ostrołęka
153,6,ostrowski
154,6,otwocki
155,6,piaseczyński
156,6,Płock
157,6,płocki
158,6,płoński
159,6,pruszkowski
160,6,przasnyski
161,6,przysuski
162,6,pułtuski
163,6,Radom
164,6,radomski
165,6,Siedlce
166,6,siedlecki
167,6,sierpecki
168,6,sochaczewski
169,6,sokołowski
170,6,Statki
171,6,szydłowiecki
172,6,Warszawa
173,6,warszawski zachodni
174,6,węgrowski
175,6,wołomiński
176,6,wyszkowski
177,6,Zagranica
178,6,zwoleński
179,6,żuromiński
180,6,żyrardowski
181,7,brzeski
182,7,głubczycki
183,7,kędzierzyńsko-kozielski
184,7,kluczborski
185,7,krapkowicki
186,7,namysłowski
187,7,nyski
188,7,oleski
189,7,Opole
190,7,opolski
191,7,prudnicki
192,7,strzelecki
193,8,bieszczadzki
194,8,brzozowski
195,8,dębicki
196,8,jarosławski
197,8,jasielski
198,8,kolbuszowski
199,8,Krosno
200,8,krośnieński
201,8,leski
202,8,leżajski
203,8,lubaczowski
204,8,łańcucki
205,8,mielecki
206,8,niżański
207,8,przemyski
208,8,Przemyśl
209,8,przeworski
210,8,ropczycko-sędziszowski
211,8,rzeszowski
212,8,Rzeszów
213,8,sanocki
214,8,stalowowolski
215,8,strzyżowski
216,8,Tarnobrzeg
217,8,tarnobrzeski
218,9,augustowski
219,9,białostocki
220,9,Białystok
221,9,bielski
222,9,grajewski
223,9,hajnowski
224,9,kolneński
225,9,Łomża
226,9,łomżyński
227,9,moniecki
228,9,sejneński
229,9,siemiatycki
230,9,sokólski
231,9,suwalski
232,9,Suwałki
233,9,wysokomazowiecki
234,9,zambrowski
235,10,bytowski
236,10,chojnicki
237,10,człuchowski
238,10,Gdańsk
239,10,gdański
