id,id_gminy,siedziba
0,0,"Dom Ludowy, ¯eliszów 102A, 59-700 Boles³awiec"
1,0,"Dom Ludowy, Bo¿ejowice 1A, 59-700 Boles³awiec"
2,0,"Dom Ludowy, Otok 44C, 59-700 Boles³awiec"
3,0,"Dom Ludowy, BrzeŸnik 37, 59-700  Boles³awiec"
4,0,"Dom Ludowy, Dobra 94, 59-700  Boles³awiec"
5,0,"Szko³a Podstawowa, D¹browa Boles³awiecka 43, 59-700 Boles³awiec"
6,0,"Dom Ludowy, Trzebieñ ul. Lipowa 5, 59-700 Boles³awiec"
7,0,"Dom Ludowy, Kraœnik Dolny 24C, 59-700 Boles³awiec"
8,0,"Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Boles³awiec"
9,0,"Dom Ludowy, £aziska 30A, 59-700 Boles³awiec"
10,0,"Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec"
11,1,"Szko³a Podstawowa w Gromadce, ul. gen. W³. Sikorskiego 19, 59-706 Gromadka"
12,1,"Gminny Oœrodek Pomocy Spo³ecznej w Gromadce z siedzib¹ w Wierzbowej, Wierzbowa 19, 59-706 Gromadka"
13,1,"Œwietlica wiejska w Ró¿yñcu, Ró¿yniec 41B, 59-706 Gromadka"
14,1,"Szko³a Podstawowa w Modle, Mod³a 76, 59-706 Gromadka"
15,2,"Szko³a Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec"
16,2,"Szko³a Podstawowa im. Jana Paw³a II w Giera³towie, Giera³tów 47, 59-730 Nowogrodziec"
17,2,"Budynek by³ej Szko³y Podstawowej w Godzieszowie, Godzieszów 96, 59-730 Nowogrodziec"
18,2,"Szko³a Podstawowa im. Jana Paw³a II w Goœciszowie, Goœciszów 152, 59-730 Nowogrodziec"
19,2,"Œwietlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec"
20,2,"Szko³a Podstawowa im. Józefa Pi³sudskiego w Nowej Wsi, Nowa Wieœ 26a, 59-730 Nowogrodziec"
21,2,"Szko³a Podstawowa im. Boles³awa Chrobrego w NowogrodŸcu, ul. Sienkiewicza 8, 59-730 Nowogrodziec"
22,2,"Gminne Centrum Kultury i Sportu w NowogrodŸcu, ul. Lubañska 42a, 59-730 Nowogrodziec"
23,2,"Budynek nr 63 w Parzycach (by³y Oœrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec"
24,2,"Œwietlica Wiejska w Wykrotach, Wykroty ul. G³ówna 27, 59-730 Nowogrodziec"
25,2,"Œwietlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec"
26,2,"Samodzielny Publiczny Zak³ad Opieki Zdrowotnej w NowogrodŸcu, ul. Lubañska 16, 59-730 Nowogrodziec"
27,3,"Centrum Aktywnoœci Spo³ecznej w Tomis³awiu, Tomis³aw 62A, 59-724 Osiecznica"
28,3,"Gminny Oœrodek Sportu i Rekreacji w Osiecznicy, ul. Lubañska 29B, 59-724 Osiecznica"
29,3,"Œwietlica Wiejska w Przejês³awiu, Przejês³aw 10a, 59-724 Osiecznica"
30,3,"Œwietlica Wiejska w £awszowej, £awszowa 81, 59-724  Osiecznica"
31,3,"Œwietlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica"
