id_gminy,id,siedziba
0,0,"Dom Ludowy, Żeliszów 102A, 59-700 Bolesławiec"
0,1,"Dom Ludowy, Bożejowice 1A, 59-700 Bolesławiec"
0,2,"Dom Ludowy, Otok 44C, 59-700 Bolesławiec"
0,3,"Dom Ludowy, Brzeźnik 37, 59-700  Bolesławiec"
0,4,"Dom Ludowy, Dobra 94, 59-700  Bolesławiec"
0,5,"Szkoła Podstawowa, Dąbrowa Bolesławiecka 43, 59-700 Bolesławiec"
0,6,"Dom Ludowy, Trzebień ul. Lipowa 5, 59-700 Bolesławiec"
0,7,"Dom Ludowy, Kraśnik Dolny 24C, 59-700 Bolesławiec"
0,8,"Centrum Administracyjno-Kulturalne, Kruszyn ul. Kasztanowa 1B, 59-700 Bolesławiec"
0,9,"Dom Ludowy, Łaziska 30A, 59-700 Bolesławiec"
0,10,"Dom Ludowy, Ocice 54B, 59-730 Nowogrodziec"
1,11,"Szkoła Podstawowa w Gromadce, ul. gen. Wł. Sikorskiego 19, 59-706 Gromadka"
1,12,"Gminny Ośrodek Pomocy Społecznej w Gromadce z siedzibą w Wierzbowej, Wierzbowa 19, 59-706 Gromadka"
1,13,"Świetlica wiejska w Różyńcu, Różyniec 41B, 59-706 Gromadka"
1,14,"Szkoła Podstawowa w Modle, Modła 76, 59-706 Gromadka"
2,15,"Szkoła Podstawowa im. Górników Surowców Mineralnych w Czernej, Czerna 52, 59-730 Nowogrodziec"
2,16,"Szkoła Podstawowa im. Jana Pawła II w Gierałtowie, Gierałtów 47, 59-730 Nowogrodziec"
2,17,"Budynek byłej Szkoły Podstawowej w Godzieszowie, Godzieszów 96, 59-730 Nowogrodziec"
2,18,"Szkoła Podstawowa im. Jana Pawła II w Gościszowie, Gościszów 152, 59-730 Nowogrodziec"
2,19,"Świetlica wiejska w Milikowie, Milików 146, 59-730 Nowogrodziec"
2,20,"Szkoła Podstawowa im. Józefa Piłsudskiego w Nowej Wsi, Nowa Wieś 26a, 59-730 Nowogrodziec"
2,21,"Szkoła Podstawowa im. Bolesława Chrobrego w Nowogrodźcu, ul. Sienkiewicza 8, 59-730 Nowogrodziec"
2,22,"Gminne Centrum Kultury i Sportu w Nowogrodźcu, ul. Lubańska 42a, 59-730 Nowogrodziec"
2,23,"Budynek nr 63 w Parzycach (były Ośrodek Kultury w Parzycach), Parzyce 63, 59-730 Nowogrodziec"
2,24,"Świetlica Wiejska w Wykrotach, Wykroty ul. Główna 27, 59-730 Nowogrodziec"
2,25,"Świetlica Wiejska w Zebrzydowej, Zebrzydowa 52, 59-730 Nowogrodziec"
2,26,"Samodzielny Publiczny Zakład Opieki Zdrowotnej w Nowogrodźcu, ul. Lubańska 16, 59-730 Nowogrodziec"
3,27,"Centrum Aktywności Społecznej w Tomisławiu, Tomisław 62A, 59-724 Osiecznica"
3,28,"Gminny Ośrodek Sportu i Rekreacji w Osiecznicy, ul. Lubańska 29B, 59-724 Osiecznica"
3,29,"Świetlica Wiejska w Przejęsławiu, Przejęsław 10a, 59-724 Osiecznica"
3,30,"Świetlica Wiejska w Ławszowej, Ławszowa 81, 59-724  Osiecznica"
3,31,"Świetlica Wiejska w Parowej, Parowa 89A, 59-724 Osiecznica"
3,32,"Dom Myśliwski w Ołoboku, Ołobok 58A, 59-724 Osiecznica"
3,33,"Centrum Aktywności Społecznej w Świętoszowie, ul. Szkolna 15, 59-726 Świętoszów"
4,34,"Wiejski Dom Kultury, Warta Bolesławiecka 29B, 59-720 Warta Bolesławiecka"
4,35,"Szkoła Podstawowa im. Żołnierzy II Armii Wojska Polskiego, Tomaszów Bolesławiecki 96, 59-720 Tomaszów Bolesławiecki"
4,36,"Świetlica Wiejska, Raciborowice Górne 196, 59-720 Raciborowice Górne"
4,37,"Zespół Szkolno-Przedszkolny, Iwiny Osiedle I 6, 59-720 Iwiny"
4,38,"Świetlica Wiejska, Szczytnica 34A, 59-720 Szczytnica"
4,39,"Kino „Kujawy”, Raciborowice Dolne 61, 59-720 Raciborowice Dolne"
5,41,"Szkoła Podstawowa Nr 3, ul. Ceramiczna 5, 59-700 Bolesławiec"
5,44,"Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60, 59-700 Bolesławiec"
5,49,"Szkoła Podstawowa Nr 2, ul. Juliusza Słowackiego 2, 59-700 Bolesławiec"
5,47,"Szkoła Podstawowa Nr 1, ul. Jana Pawła II 38c, 59-700 Bolesławiec"
5,48,"Miejskie Przedszkole Publiczne Nr 6, ul. Piotra i Pawła 2, 59-700 Bolesławiec"
5,57,"Szkoła Podstawowa Nr 4, ul. Mikołaja Brody 12, 59-700 Bolesławiec"
5,53,"Szkoła Podstawowa Nr 4, ul. Bielska 5, 59-700 Bolesławiec"
5,54,"Miejskie Przedszkole Publiczne Nr 5, ul. Zygmunta Augusta 16b, 59-700 Bolesławiec"
5,55,"Przedsiębiorstwo Wodociągów i Kanalizacji, Aleja Wojska Polskiego 6/1a, 59-700 Bolesławiec"
5,56,"Pałac Ślubów, Ratusz-Rynek 41, 59-700 Bolesławiec"
5,58,"Miejskie Przedszkole Publiczne Nr 2, ul. Mikołaja Brody 17, 59-700 Bolesławiec"
5,60,"Miejskie Przedszkole Publiczne Nr 7, ul. Górne Młyny 5, 59-700 Bolesławiec"
5,61,"Zespół Opieki Zdrowotnej w Bolesławcu, ul. Jeleniogórska 4, 59-700 Bolesławiec"
5,62,"Wojewódzki Szpital dla Nerwowo i Psychicznie Chorych w Bolesławcu, Aleja Tysiąclecia 30, 59-700 Bolesławiec"
5,63,"Dom Pomocy Społecznej w Bolesławcu, ul. Piastów 17, 59-700 Bolesławiec"
6,65,"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko"
6,66,"Sala Integracji Społecznej, Włóki 78, 58-207 Tuszyn"
6,67,"Szkoła Podstawowa im. Jana Pawła II, Tuszyn 47, 58-207 Tuszyn"
6,68,"Park wiejski z infrastrukturą sportowo-rekreacyjną, Książnica 5A, 58-207 Tuszyn"
6,69,"Filia Nr 2 Biblioteki Publicznej, ul. Piastowska 1, 58-211 Uciechów"
6,70,"Centrum Kulturalno-Sportowo-Oświatowe, Dobrocin ul. Kościuszki 14A, 58-200 Dzierżoniów"
6,71,"Budynek wielofunkcyjny, Roztocznik 41A, 58-217 Gilów"
6,72,"Zespół Szkolno-Przedszkolny, ul. Główna 50, 58-241 Piława Dolna"
6,73,"Świetlica wiejska, Owiesno 88, 58-262 Ostroszowice"
6,74,"Zespół Szkolno-Przedszkolny, ul. Bielawska 58, 58-262 Ostroszowice"
6,75,"Domek Myśliwski, Jodłownik 40, 58-262 Ostroszowice"
6,76,"Biuro Wychowawcy, Błotnista 12, 58-241 Piława Dolna"
7,77,"Szkoła Podstawowa im. Adama Mickiewicza, Jaźwina 79, 58-212 Jaźwina"
7,78,"Sala Wiejska, Ratajno 55, 58-210 Łagiewniki"
7,79,"Sala Wiejska, ul. Wesoła 9, 58-214 Oleszna"
7,80,"Sala Wiejska, Radzików 56, 58-210 Łagiewniki"
7,81,"Gminny Ośrodek Kultury, Bibliotek i Sportu, ul. Wrocławska 1, 58-210 Łagiewniki"
7,82,"Szkoła Podstawowa im. Jana Pawła II, ul. Jedności Narodowej 38, 58-210 Łagiewniki"
8,83,"Szkoła Podstawowa w Niemczy, ul. Bolesława Chrobrego 25, 58-230 Niemcza"
8,84,"Niemczański Ośrodek Kultury, ul. Rynek 32, 58-230 Niemcza"
8,85,"Dom Pomocy Społecznej, ul. Kolejowa 14 - 16, 58-230 Niemcza"
8,86,"Niepubliczna Szkoła Podstawowa, Przerzeczyn-Zdrój ul. Zdrojowa 14, 58-231 Niemcza"
8,87,"Budynek gminny, Wilków Wielki 26, 58-230 Niemcza"
8,88,"Niepubliczna Szkoła Podstawowa, Gilów 49, 58-217 Niemcza"
9,89,"Bielawski Inkubator Przedsiębiorczości Sala Konferencyjna, ul. Wolności 24, 58-260 Bielawa"
9,90,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, ul. Brzeżna 48, 58-260 Bielawa"
9,91,"Zespół Szkół i Placówek Kształcenia Zawodowego, ul. Stefana Żeromskiego 41, 58-260 Bielawa"
9,92,"Klub Spółdzielni Mieszkaniowej, Osiedle Włókniarzy 1, 58-260 Bielawa"
9,93,"Ekologiczna Szkoła Podstawowa nr 7 im. Juliana Tuwima, Osiedle Włókniarzy 10, 58-260 Bielawa"
9,97,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Parkowa 12, 58-260 Bielawa"
9,96,"Żłobek Publiczny, ul. Generała Grota Roweckiego 7, 58-260 Bielawa"
9,98,"Klub """"Sowa"""" Spółdzielni Mieszkaniowej, ul. Jana III Sobieskiego 17, 58-260 Bielawa"
9,100,"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa"
9,101,"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa"
9,102,"Zespół Szkół Ogólnokształcących, ul. Szkolna 5, 58-260 Bielawa"
9,103,"Miejski Zarząd Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa"
9,104,"Zespół Ośrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa"
9,106,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa"
9,107,"Zespół Szkół Cechu Rzemiosł Różnych Zasadnicza Szkoła Zawodowa Cechu Rzemiosł Różnych i Małej Przedsiębiorczości, ul. Polna 2, 58-260 Bielawa"
9,109,"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa"
9,110,"Dom Pomocy Społecznej, Stefana Żeromskiego 2, 58-260 Bielawa"
10,111,"Pracownicze Ogródki Działkowe """"Jar"""", ul. Złota 10, 58-200 Dzierżoniów"
10,112,"Przedszkole Publiczne nr 7, Osiedle Tęczowe 3, 58-200 Dzierżoniów"
10,113,"dawna siedziba Ośrodka Pomocy Społecznej, ul. Złota 8, 58-200 Dzierżoniów"
10,116,"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów"
10,115,"Przedszkole Niepubliczne nr 3 """"Pod Topolą"""", Osiedle Błękitne 26, 58-200 Dzierżoniów"
10,117,"Szkoła Podstawowa nr 1, ul. Sikorskiego 2, 58-200 Dzierżoniów"
10,118,"Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyńskiego w Dzierżoniowie, ul. Sikorskiego 2, 58-200 Dzierżoniów"
10,119,"Przedszkole Niepubliczne nr 4, Osiedle Jasne 21, 58-200 Dzierżoniów"
10,120,"Niepubliczny Żłobek """"Sówka"""" (dawny budynek po byłej Szkole Podstawowej nr 6), Osiedle Jasne 22, 58-200 Dzierżoniów"
10,121,"Niepubliczna Szkoła Podstawowa Sióstr Salezjanek, ul. Wrocławska 51, 58-200 Dzierżoniów"
10,122,"Dzienny Dom Senior +, ul. Krasickiego 25, 58-200 Dzierżoniów"
10,123,"I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Piłsudskiego 10, 58-200 Dzierżoniów"
10,124,"Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. Słowiańska 6, 58-200 Dzierżoniów"
10,125,"dawny Biurowiec """"Silesiany"""", ul. Batalionów Chłopskich 19, 58-200 Dzierżoniów"
10,126,"Przedszkole Publiczne nr 1, ul. Batalionów Chłopskich 20, 58-200 Dzierżoniów"
10,127,"Szkoła Podstawowa nr 9, ul. Mikołaja Kopernika 7, 58-200 Dzierżoniów"
10,128,"Dzierżoniowski Ośrodek Kultury, ul. Świdnicka 23, 58-200 Dzierżoniów"
10,129,"Przedszkole Niepubliczne """"Słoneczna Piątka"""", ul. Świdnicka 41, 58-200 Dzierżoniów"
10,130,"Ośrodek Pomocy Społecznej, ul. Szkolna 24, 58-200 Dzierżoniów"
10,131,"Szkoła Podstawowa nr 3, ul. Nowowiejska 64, 58-200 Dzierżoniów"
10,132,"Areszt Śledczy, ul. Ząbkowicka 53, 58-200 Dzierżoniów"
10,133,"Niepubliczny Zakład Opieki Zdrowotnej Szpital Powiatowy Spółka z o. o., ul. Cicha 1, 58-200 Dzierżoniów"
11,134,"Niepubliczna Szkoła Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Świdnicka 53, 58-250 Pieszyce"
11,135,"Zespół Szkół im Ks. Dzierżonia, Budynek B (łącznik), ul. Mickiewicza 1, 58-250 Pieszyce"
11,136,"Szkoła Podstawowa Nr 1, ul. Ogrodowa 23, 58-250 Pieszyce"
11,137,"Ośrodek Pomocy Społecznej, ul. Kopernika 124, 58-250 Pieszyce"
11,138,"Sala Sołecka, Kamionki 60, 58-250 Pieszyce"
11,139,"Świetlica Remizy Strażackiej OSP Piskorzów, Piskorzów 45a, 58-250 Pieszyce"
11,140,"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Rościszów 51a, 58-250 Pieszyce"
11,141,"Specjalistyczny Szpital Chorób Płuc w Rościszowie, Rościszów 11, 58-250 Pieszyce"
11,142,"Dom Pomocy Społecznej """"Zielone Wzgórza"""" (budynek 2), Rościszów 84, 58-250 Pieszyce"
12,143,"Szkoła Podstawowa, ul. Tedeusza Kościuszki 1, 58-240 Piława Górna"
12,144,"Szkoła Podstawowa, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna"
