id,id_powiatu,nazwa
0,0,gm. Bolesławiec
1,0,gm. Gromadka
2,0,gm. Nowogrodziec
3,0,gm. Osiecznica
4,0,gm. Warta Bolesławiecka
5,0,m. Bolesławiec
6,1,gm. Dzierżoniów
7,1,gm. Łagiewniki
8,1,gm. Niemcza
9,1,m. Bielawa
10,1,m. Dzierżoniów
11,1,m. Pieszyce
12,1,m. Piława Górna
13,2,gm. Głogów
14,2,gm. Jerzmanowa
15,2,gm. Kotla
16,2,gm. Pęcław
17,2,gm. Żukowice
18,2,m. Głogów
19,3,gm. Góra
20,3,gm. Jemielno
21,3,gm. Niechlów
22,3,gm. Wąsosz
23,4,gm. Bolków
24,4,gm. Męcinka
25,4,gm. Mściwojów
26,4,gm. Paszowice
27,4,gm. Wądroże Wielkie
28,4,m. Jawor
29,5,Jelenia Góra
30,6,gm. Janowice Wielkie
31,6,gm. Jeżów Sudecki
32,6,gm. Mysłakowice
33,6,gm. Podgórzyn
34,6,gm. Stara Kamienica
35,6,m. Karpacz
36,6,m. Kowary
37,6,m. Piechowice
38,6,m. Szklarska Poręba
39,7,gm. Kamienna Góra
40,7,gm. Lubawka
41,7,gm. Marciszów
42,7,m. Kamienna Góra
43,8,gm. Bystrzyca Kłodzka
44,8,gm. Kłodzko
45,8,gm. Lądek-Zdrój
46,8,gm. Lewin Kłodzki
47,8,gm. Międzylesie
48,8,gm. Nowa Ruda
49,8,gm. Radków
50,8,gm. Stronie Śląskie
51,8,gm. Szczytna
52,8,m. Duszniki-Zdrój
53,8,m. Kłodzko
54,8,m. Kudowa-Zdrój
55,8,m. Nowa Ruda
56,8,m. Polanica-Zdrój
57,9,Legnica
58,10,gm. Chojnów
59,10,gm. Krotoszyce
60,10,gm. Kunice
61,10,gm. Legnickie Pole
62,10,gm. Miłkowice
63,10,gm. Prochowice
64,10,gm. Ruja
65,10,m. Chojnów
66,11,gm. Leśna
67,11,gm. Lubań
68,11,gm. Olszyna
69,11,gm. Platerówka
70,11,gm. Siekierczyn
71,11,m. Lubań
72,11,m. Świeradów-Zdrój
73,12,gm. Lubin
74,12,gm. Rudna
75,12,gm. Ścinawa
76,12,m. Lubin
77,13,gm. Gryfów Śląski
78,13,gm. Lubomierz
79,13,gm. Lwówek Śląski
80,13,gm. Mirsk
81,13,gm. Wleń
82,14,gm. Cieszków
83,14,gm. Krośnice
84,14,gm. Milicz
85,15,gm. Bierutów
86,15,gm. Dobroszyce
87,15,gm. Dziadowa Kłoda
88,15,gm. Międzybórz
89,15,gm. Oleśnica
90,15,gm. Syców
91,15,gm. Twardogóra
92,15,m. Oleśnica
93,16,gm. Domaniów
94,16,gm. Jelcz-Laskowice
95,16,gm. Oława
96,16,m. Oława
97,17,gm. Chocianów
98,17,gm. Gaworzyce
99,17,gm. Grębocice
100,17,gm. Polkowice
101,17,gm. Przemków
102,17,gm. Radwanice
103,18,gm. Borów
104,18,gm. Kondratowice
105,18,gm. Przeworno
106,18,gm. Strzelin
107,18,gm. Wiązów
108,19,gm. Kostomłoty
109,19,gm. Malczyce
110,19,gm. Miękinia
111,19,gm. Środa Śląska
112,19,gm. Udanin
113,20,gm. Dobromierz
114,20,gm. Jaworzyna Śląska
115,20,gm. Marcinowice
116,20,gm. Strzegom
117,20,gm. Świdnica
118,20,gm. Żarów
119,20,m. Świdnica
120,20,m. Świebodzice
121,21,gm. Oborniki Śląskie
122,21,gm. Prusice
123,21,gm. Trzebnica
124,21,gm. Wisznia Mała
125,21,gm. Zawonia
126,21,gm. Żmigród
127,22,Wałbrzych
128,23,gm. Czarny Bór
129,23,gm. Głuszyca
130,23,gm. Mieroszów
131,23,gm. Stare Bogaczowice
132,23,gm. Walim
133,23,m. Boguszów-Gorce
134,23,m. Jedlina-Zdrój
135,23,m. Szczawno-Zdrój
136,24,gm. Brzeg Dolny
137,24,gm. Wińsko
138,24,gm. Wołów
139,25,Wrocław
140,26,gm. Czernica
141,26,gm. Długołęka
142,26,gm. Jordanów Śląski
143,26,gm. Kąty Wrocławskie
144,26,gm. Kobierzyce
145,26,gm. Mietków
146,26,gm. Siechnice
147,26,gm. Sobótka
148,26,gm. Żórawina
149,27,gm. Bardo
150,27,gm. Ciepłowody
151,27,gm. Kamieniec Ząbkowicki
152,27,gm. Stoszowice
153,27,gm. Ząbkowice Śląskie
154,27,gm. Ziębice
155,27,gm. Złoty Stok
156,28,gm. Bogatynia
157,28,gm. Pieńsk
158,28,gm. Sulików
159,28,gm. Węgliniec
160,28,gm. Zgorzelec
161,28,m. Zawidów
162,28,m. Zgorzelec
163,29,gm. Pielgrzymka
164,29,gm. Świerzawa
165,29,gm. Zagrodno
166,29,gm. Złotoryja
167,29,m. Wojcieszów
168,29,m. Złotoryja
169,30,gm. Aleksandrów Kujawski
170,30,gm. Bądkowo
171,30,gm. Koneck
172,30,gm. Raciążek
173,30,gm. Waganiec
174,30,gm. Zakrzewo
175,30,m. Aleksandrów Kujawski
176,30,m. Ciechocinek
177,30,m. Nieszawa
178,31,gm. Bartniczka
179,31,gm. Bobrowo
180,31,gm. Brodnica
181,31,gm. Brzozie
182,31,gm. Górzno
183,31,gm. Jabłonowo Pomorskie
184,31,gm. Osiek
185,31,gm. Świedziebnia
186,31,gm. Zbiczno
187,31,m. Brodnica
188,32,gm. Białe Błota
189,32,gm. Dąbrowa Chełmińska
190,32,gm. Dobrcz
191,32,gm. Koronowo
192,32,gm. Nowa Wieś Wielka
193,32,gm. Osielsko
194,32,gm. Sicienko
195,32,gm. Solec Kujawski
196,33,Bydgoszcz
197,34,gm. Chełmno
198,34,gm. Kijewo Królewskie
199,34,gm. Lisewo
200,34,gm. Papowo Biskupie
201,34,gm. Stolno
202,34,gm. Unisław
203,34,m. Chełmno
204,35,gm. Ciechocin
205,35,gm. Golub-Dobrzyń
206,35,gm. Kowalewo Pomorskie
207,35,gm. Radomin
208,35,gm. Zbójno
209,35,m. Golub-Dobrzyń
210,36,Grudziądz
211,37,gm. Grudziądz
212,37,gm. Gruta
213,37,gm. Łasin
214,37,gm. Radzyń Chełmiński
215,37,gm. Rogóźno
216,37,gm. Świecie nad Osą
217,38,gm. Dąbrowa Biskupia
218,38,gm. Gniewkowo
219,38,gm. Inowrocław
220,38,gm. Janikowo
221,38,gm. Kruszwica
222,38,gm. Pakość
223,38,gm. Rojewo
224,38,gm. Złotniki Kujawskie
225,38,m. Inowrocław
226,39,gm. Bobrowniki
227,39,gm. Chrostkowo
228,39,gm. Dobrzyń nad Wisłą
229,39,gm. Kikół
230,39,gm. Lipno
231,39,gm. Skępe
232,39,gm. Tłuchowo
233,39,gm. Wielgie
234,39,m. Lipno
235,40,gm. Dąbrowa
236,40,gm. Jeziora Wielkie
237,40,gm. Mogilno
238,40,gm. Strzelno
239,41,gm. Kcynia
240,41,gm. Mrocza
241,41,gm. Nakło nad Notecią
242,41,gm. Sadki
243,41,gm. Szubin
244,42,gm. Bytoń
245,42,gm. Dobre
246,42,gm. Osięciny
247,42,gm. Piotrków Kujawski
248,42,gm. Radziejów
249,42,gm. Topólka
250,42,m. Radziejów
251,43,gm. Brzuze
252,43,gm. Rogowo
253,43,gm. Rypin
254,43,gm. Skrwilno
255,43,gm. Wąpielsk
256,43,m. Rypin
257,44,gm. Kamień Krajeński
258,44,gm. Sępólno Krajeńskie
259,44,gm. Sośno
260,44,gm. Więcbork
261,45,gm. Bukowiec
262,45,gm. Dragacz
263,45,gm. Drzycim
264,45,gm. Jeżewo
265,45,gm. Lniano
266,45,gm. Nowe
267,45,gm. Osie
268,45,gm. Pruszcz
269,45,gm. Świecie
270,45,gm. Świekatowo
271,45,gm. Warlubie
272,46,Toruń
273,47,gm. Chełmża
274,47,gm. Czernikowo
275,47,gm. Lubicz
276,47,gm. Łubianka
277,47,gm. Łysomice
278,47,gm. Obrowo
279,47,gm. Wielka Nieszawka
280,47,gm. Zławieś Wielka
281,47,m. Chełmża
282,48,gm. Cekcyn
283,48,gm. Gostycyn
284,48,gm. Kęsowo
285,48,gm. Lubiewo
286,48,gm. Śliwice
287,48,gm. Tuchola
288,49,gm. Dębowa Łąka
289,49,gm. Książki
290,49,gm. Płużnica
291,49,gm. Ryńsk
292,49,m. Wąbrzeźno
293,50,Włocławek
294,51,gm. Baruchowo
295,51,gm. Boniewo
296,51,gm. Brześć Kujawski
297,51,gm. Choceń
298,51,gm. Chodecz
299,51,gm. Fabianki
300,51,gm. Izbica Kujawska
301,51,gm. Kowal
302,51,gm. Lubanie
303,51,gm. Lubień Kujawski
304,51,gm. Lubraniec
305,51,gm. Włocławek
306,51,m. Kowal
307,52,gm. Barcin
308,52,gm. Gąsawa
309,52,gm. Janowiec Wielkopolski
310,52,gm. Łabiszyn
311,52,gm. Rogowo
312,52,gm. Żnin
313,53,gm. Biała Podlaska
314,53,gm. Drelów
315,53,gm. Janów Podlaski
316,53,gm. Kodeń
317,53,gm. Konstantynów
318,53,gm. Leśna Podlaska
319,53,gm. Łomazy
320,53,gm. Międzyrzec Podlaski
321,53,gm. Piszczac
322,53,gm. Rokitno
323,53,gm. Rossosz
324,53,gm. Sławatycze
325,53,gm. Sosnówka
326,53,gm. Terespol
327,53,gm. Tuczna
328,53,gm. Wisznice
329,53,gm. Zalesie
330,53,m. Międzyrzec Podlaski
331,53,m. Terespol
332,54,Biała Podlaska
333,55,gm. Aleksandrów
334,55,gm. Biłgoraj
335,55,gm. Biszcza
336,55,gm. Frampol
337,55,gm. Goraj
338,55,gm. Józefów
339,55,gm. Księżpol
340,55,gm. Łukowa
341,55,gm. Obsza
342,55,gm. Potok Górny
343,55,gm. Tarnogród
344,55,gm. Tereszpol
345,55,gm. Turobin
346,55,m. Biłgoraj
347,56,Chełm
348,57,gm. Białopole
349,57,gm. Chełm
350,57,gm. Dorohusk
351,57,gm. Dubienka
352,57,gm. Kamień
353,57,gm. Leśniowice
354,57,gm. Rejowiec
355,57,gm. Rejowiec Fabryczny
356,57,gm. Ruda-Huta
357,57,gm. Sawin
358,57,gm. Siedliszcze
359,57,gm. Wierzbica
360,57,gm. Wojsławice
361,57,gm. Żmudź
362,57,m. Rejowiec Fabryczny
363,58,gm. Dołhobyczów
364,58,gm. Horodło
365,58,gm. Hrubieszów
366,58,gm. Mircze
367,58,gm. Trzeszczany
368,58,gm. Uchanie
369,58,gm. Werbkowice
370,58,m. Hrubieszów
371,59,gm. Batorz
372,59,gm. Chrzanów
373,59,gm. Dzwola
374,59,gm. Godziszów
375,59,gm. Janów Lubelski
376,59,gm. Modliborzyce
377,59,gm. Potok Wielki
378,60,gm. Fajsławice
379,60,gm. Gorzków
380,60,gm. Izbica
381,60,gm. Krasnystaw
382,60,gm. Kraśniczyn
383,60,gm. Łopiennik Górny
384,60,gm. Rudnik
385,60,gm. Siennica Różana
386,60,gm. Żółkiewka
387,60,m. Krasnystaw
388,61,gm. Annopol
389,61,gm. Dzierzkowice
390,61,gm. Gościeradów
391,61,gm. Kraśnik
392,61,gm. Szastarka
393,61,gm. Trzydnik Duży
394,61,gm. Urzędów
395,61,gm. Wilkołaz
396,61,gm. Zakrzówek
397,61,m. Kraśnik
398,62,gm. Abramów
399,62,gm. Firlej
400,62,gm. Jeziorzany
401,62,gm. Kamionka
402,62,gm. Kock
403,62,gm. Lubartów
404,62,gm. Michów
405,62,gm. Niedźwiada
406,62,gm. Ostrów Lubelski
407,62,gm. Ostrówek
408,62,gm. Serniki
409,62,gm. Uścimów
410,62,m. Lubartów
411,63,gm. Bełżyce
412,63,gm. Borzechów
413,63,gm. Bychawa
414,63,gm. Garbów
415,63,gm. Głusk
416,63,gm. Jabłonna
417,63,gm. Jastków
418,63,gm. Konopnica
419,63,gm. Krzczonów
420,63,gm. Niedrzwica Duża
421,63,gm. Niemce
422,63,gm. Strzyżewice
423,63,gm. Wojciechów
424,63,gm. Wólka
425,63,gm. Wysokie
426,63,gm. Zakrzew
427,64,Lublin
428,65,gm. Cyców
429,65,gm. Ludwin
430,65,gm. Łęczna
431,65,gm. Milejów
432,65,gm. Puchaczów
433,65,gm. Spiczyn
434,66,gm. Adamów
435,66,gm. Krzywda
436,66,gm. Łuków
437,66,gm. Serokomla
438,66,gm. Stanin
439,66,gm. Stoczek Łukowski
440,66,gm. Trzebieszów
441,66,gm. Wojcieszków
442,66,gm. Wola Mysłowska
443,66,m. Łuków
444,66,m. Stoczek Łukowski
445,67,gm. Chodel
446,67,gm. Józefów nad Wisłą
447,67,gm. Karczmiska
448,67,gm. Łaziska
449,67,gm. Opole Lubelskie
450,67,gm. Poniatowa
451,67,gm. Wilków
452,68,gm. Dębowa Kłoda
453,68,gm. Jabłoń
454,68,gm. Milanów
455,68,gm. Parczew
456,68,gm. Podedwórze
457,68,gm. Siemień
458,68,gm. Sosnowica
459,69,gm. Baranów
460,69,gm. Janowiec
461,69,gm. Kazimierz Dolny
462,69,gm. Końskowola
463,69,gm. Kurów
464,69,gm. Markuszów
465,69,gm. Nałęczów
466,69,gm. Puławy
467,69,gm. Wąwolnica
468,69,gm. Żyrzyn
469,69,m. Puławy
470,70,gm. Borki
471,70,gm. Czemierniki
472,70,gm. Kąkolewnica
473,70,gm. Komarówka Podlaska
474,70,gm. Radzyń Podlaski
475,70,gm. Ulan-Majorat
476,70,gm. Wohyń
477,70,m. Radzyń Podlaski
478,71,gm. Kłoczew
479,71,gm. Nowodwór
480,71,gm. Ryki
481,71,gm. Stężyca
482,71,gm. Ułęż
483,71,m. Dęblin
484,72,gm. Mełgiew
485,72,gm. Piaski
486,72,gm. Rybczewice
487,72,gm. Trawniki
488,72,m. Świdnik
489,73,gm. Bełżec
490,73,gm. Jarczów
491,73,gm. Krynice
492,73,gm. Lubycza Królewska
493,73,gm. Łaszczów
494,73,gm. Rachanie
495,73,gm. Susiec
496,73,gm. Tarnawatka
497,73,gm. Telatyn
498,73,gm. Tomaszów Lubelski
499,73,gm. Tyszowce
500,73,gm. Ulhówek
501,73,m. Tomaszów Lubelski
502,74,gm. Hanna
503,74,gm. Hańsk
504,74,gm. Stary Brus
505,74,gm. Urszulin
506,74,gm. Włodawa
507,74,gm. Wola Uhruska
508,74,gm. Wyryki
509,74,m. Włodawa
510,75,gm. Adamów
511,75,gm. Grabowiec
512,75,gm. Komarów-Osada
513,75,gm. Krasnobród
514,75,gm. Łabunie
515,75,gm. Miączyn
516,75,gm. Nielisz
517,75,gm. Radecznica
518,75,gm. Sitno
519,75,gm. Skierbieszów
520,75,gm. Stary Zamość
521,75,gm. Sułów
522,75,gm. Szczebrzeszyn
523,75,gm. Zamość
524,75,gm. Zwierzyniec
525,76,Zamość
526,77,gm. Bogdaniec
527,77,gm. Deszczno
528,77,gm. Kłodawa
529,77,gm. Lubiszyn
530,77,gm. Santok
531,77,gm. Witnica
532,77,m. Kostrzyn nad Odrą
533,78,Gorzów Wielkopolski
534,79,gm. Bobrowice
535,79,gm. Bytnica
536,79,gm. Dąbie
537,79,gm. Gubin
538,79,gm. Krosno Odrzańskie
539,79,gm. Maszewo
540,79,m. Gubin
541,80,gm. Bledzew
542,80,gm. Międzyrzecz
543,80,gm. Przytoczna
544,80,gm. Pszczew
545,80,gm. Skwierzyna
546,80,gm. Trzciel
547,81,gm. Bytom Odrzański
548,81,gm. Kolsko
549,81,gm. Kożuchów
550,81,gm. Nowa Sól
551,81,gm. Nowe Miasteczko
552,81,gm. Otyń
553,81,gm. Siedlisko
554,81,m. Nowa Sól
555,82,gm. Cybinka
556,82,gm. Górzyca
557,82,gm. Ośno Lubuskie
558,82,gm. Rzepin
559,82,gm. Słubice
560,83,gm. Dobiegniew
561,83,gm. Drezdenko
562,83,gm. Stare Kurowo
563,83,gm. Strzelce Krajeńskie
564,83,gm. Zwierzyn
565,84,gm. Krzeszyce
566,84,gm. Lubniewice
567,84,gm. Słońsk
568,84,gm. Sulęcin
569,84,gm. Torzym
570,85,gm. Lubrza
571,85,gm. Łagów
572,85,gm. Skąpe
573,85,gm. Szczaniec
574,85,gm. Świebodzin
575,85,gm. Zbąszynek
576,86,gm. Sława
577,86,gm. Szlichtyngowa
578,86,gm. Wschowa
579,87,Zielona Góra
580,88,gm. Babimost
581,88,gm. Bojadła
582,88,gm. Czerwieńsk
583,88,gm. Kargowa
584,88,gm. Nowogród Bobrzański
585,88,gm. Sulechów
586,88,gm. Świdnica
587,88,gm. Trzebiechów
588,88,gm. Zabór
589,89,gm. Brzeźnica
590,89,gm. Iłowa
591,89,gm. Małomice
592,89,gm. Niegosławice
593,89,gm. Szprotawa
594,89,gm. Wymiarki
595,89,gm. Żagań
596,89,m. Gozdnica
597,89,m. Żagań
598,90,gm. Brody
599,90,gm. Jasień
600,90,gm. Lipinki Łużyckie
601,90,gm. Lubsko
602,90,gm. Przewóz
603,90,gm. Trzebiel
604,90,gm. Tuplice
605,90,gm. Żary
606,90,m. Łęknica
607,90,m. Żary
608,91,gm. Bełchatów
609,91,gm. Drużbice
610,91,gm. Kleszczów
611,91,gm. Kluki
612,91,gm. Rusiec
613,91,gm. Szczerców
614,91,gm. Zelów
615,91,m. Bełchatów
616,92,gm. Brzeziny
617,92,gm. Dmosin
618,92,gm. Jeżów
619,92,gm. Rogów
620,92,m. Brzeziny
621,93,gm. Bedlno
622,93,gm. Dąbrowice
623,93,gm. Krośniewice
624,93,gm. Krzyżanów
625,93,gm. Kutno
626,93,gm. Łanięta
627,93,gm. Nowe Ostrowy
628,93,gm. Oporów
629,93,gm. Strzelce
630,93,gm. Żychlin
631,93,m. Kutno
632,94,gm. Buczek
633,94,gm. Łask
634,94,gm. Sędziejowice
635,94,gm. Widawa
636,94,gm. Wodzierady
637,95,gm. Daszyna
638,95,gm. Góra Świętej Małgorzaty
639,95,gm. Grabów
640,95,gm. Łęczyca
641,95,gm. Piątek
642,95,gm. Świnice Warckie
643,95,gm. Witonia
644,95,m. Łęczyca
645,96,gm. Bielawy
646,96,gm. Chąśno
647,96,gm. Domaniewice
648,96,gm. Kiernozia
649,96,gm. Kocierzew Południowy
650,96,gm. Łowicz
651,96,gm. Łyszkowice
652,96,gm. Nieborów
653,96,gm. Zduny
654,96,m. Łowicz
655,97,gm. Andrespol
656,97,gm. Brójce
657,97,gm. Koluszki
658,97,gm. Nowosolna
659,97,gm. Rzgów
660,97,gm. Tuszyn
661,98,Łódź
662,99,gm. Białaczów
663,99,gm. Drzewica
664,99,gm. Mniszków
665,99,gm. Opoczno
666,99,gm. Paradyż
667,99,gm. Poświętne
668,99,gm. Sławno
669,99,gm. Żarnów
